en-de	gold	0	(PERSON2) Ja, das ist das einzige, was ich für positive Einschränkungen getan habe.	( PERSON2 ) Ja , das ist das einzige , was ich für positive Einschränkungen getan habe . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-fa	gold	498	benchmarksشرکت های چینی(SoEs، خصوصی)سیستم فن آوریکارآفرینی در چیندر حقیقت, شرکت ها ۷۰ درصد هزینه های R &amp; D را تامین می کنند و حدود یک سوم هزینه های آموزش عالی و موسسات تحقیقاتی را برای هزینه های R &amp; D ارایه می دهند (Schaaper, 2009).	benchmarksشرکت های چینی ( SoEs ، خصوصی ) سیستم فن آوریکارآفرینی در چیندر حقیقت , شرکت ها ۷۰ درصد هزینه های R &amp; amp ; D را تامین می کنند و حدود یک سوم هزینه های آموزش عالی و موسسات تحقیقاتی را برای هزینه های R &amp; amp ; D ارایه می دهند ( Schaaper , 2009 ) . <EOS>	BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD OK BAD OK BAD BAD BAD OK OK BAD OK BAD BAD BAD BAD BAD BAD BAD BAD BAD OK BAD OK OK BAD OK OK OK OK BAD OK OK BAD OK OK BAD BAD BAD BAD BAD BAD OK BAD OK BAD BAD OK OK OK OK
en-fa	gold	499	این امر به عنوان یکی از نقاط ضعف شرکت های فن آوری چین است که مانع ورود آن ها به عرصه بین المللی و بازارهای داخلی داخلی می شود.	این امر به عنوان یکی از نقاط ضعف شرکت های فن آوری چین است که مانع ورود آن ها به عرصه بین المللی و بازارهای داخلی داخلی می شود . <EOS>	BAD BAD BAD BAD OK OK BAD OK OK OK BAD BAD BAD OK OK OK OK BAD BAD OK OK BAD OK OK BAD BAD OK OK OK OK OK
en-fa	gold	500	حتی با این وجود, آن نوآوری های تکنولوژیکی باید به بازار آورده شوند و با موفقیت تجاری شوند تا مزایای مورد انتظار را ایجاد کنند.	حتی با این وجود , آن نوآوری های تکنولوژیکی باید به بازار آورده شوند و با موفقیت تجاری شوند تا مزایای مورد انتظار را ایجاد کنند . <EOS>	BAD OK OK OK BAD OK BAD BAD BAD OK OK OK BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-fa	gold	501	به همین دلیل برای پرداختن به چالش های مطرح در بالا, شناسایی عوامل تضعیف یا تقویت قابلیت های شرکت های چینی برای درک کامل پتانسیل بازار نوآوری های تکنولوژیکی - - اولین قدم ضروری است.	به همین دلیل برای پرداختن به چالش های مطرح در بالا , شناسایی عوامل تضعیف یا تقویت قابلیت های شرکت های چینی برای درک کامل پتانسیل بازار نوآوری های تکنولوژیکی - - اولین قدم ضروری است . <EOS>	OK OK OK OK OK OK OK OK OK BAD OK BAD OK OK OK OK OK BAD OK OK OK OK OK BAD OK OK OK OK OK BAD OK BAD OK BAD OK OK OK OK
en-fa	gold	502	ادبیات اجتماعی مرتبط با سرمایه اجتماعی بر روی ویژگی های شبکه های خارجی تمرکز می کند که امکان شناسایی پیکر بندی شبکه خاص را فراهم می کند که ممکن است برای قابلیت های کارآفرینی تکنولوژیکی شرکت مساعد باشد و همچنین سایر عوامل محیطی که روابط بین این پیکره بندی های و مزیت رقابتی را تعدیل می کنند و همچنین برای این مطالعه، به دست آوردن قابلیت های رقابتی، مناسب تر هستند.	ادبیات اجتماعی مرتبط با سرمایه اجتماعی بر روی ویژگی های شبکه های خارجی تمرکز می کند که امکان شناسایی پیکر بندی شبکه خاص را فراهم می کند که ممکن است برای قابلیت های کارآفرینی تکنولوژیکی شرکت مساعد باشد و همچنین سایر عوامل محیطی که روابط بین این پیکره بندی های و مزیت رقابتی را تعدیل می کنند و همچنین برای این مطالعه ، به دست آوردن قابلیت های رقابتی ، مناسب تر هستند . <EOS>	BAD BAD BAD BAD OK OK OK BAD OK OK OK OK OK BAD BAD BAD OK OK OK BAD BAD OK OK OK OK OK OK OK BAD BAD BAD OK OK OK OK BAD BAD BAD OK OK OK OK OK BAD OK OK BAD BAD BAD BAD OK OK OK BAD BAD BAD BAD BAD BAD BAD OK OK OK BAD BAD BAD OK OK OK BAD BAD BAD BAD OK OK
en-fa	gold	503	فقدان کلی اثر واسطه ای روابط مبتنی بر شراکت (جدا از ارتباطات با شرکت های سرمایه گذاری مخاطره پذیر) و شبکه های سیاسی در رابطه بین استراتژی محصول و عملکرد، و اثر منفی تعدیل کننده آشفتگی تکنولوژیکی بین قابلیت های بازاریابی و عملکرد در ادبیات تحقیق مدیریت استراتژیک، هر دو نتایج در شرکت های چینی یافت می شوند.	فقدان کلی اثر واسطه ای روابط مبتنی بر شراکت ( جدا از ارتباطات با شرکت های سرمایه گذاری مخاطره پذیر ) و شبکه های سیاسی در رابطه بین استراتژی محصول و عملکرد ، و اثر منفی تعدیل کننده آشفتگی تکنولوژیکی بین قابلیت های بازاریابی و عملکرد در ادبیات تحقیق مدیریت استراتژیک ، هر دو نتایج در شرکت های چینی یافت می شوند . <EOS>	OK BAD OK BAD BAD BAD OK OK BAD OK OK OK BAD OK BAD BAD OK OK BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK BAD OK BAD BAD OK BAD BAD OK OK OK OK OK OK OK OK BAD BAD OK OK OK OK OK BAD OK BAD BAD OK OK BAD BAD OK OK
en-fa	gold	504	اثرات مشروط بیشتر ویژگی های شبکه در اکثر مطالعات به خصوص در ارتباط با عدم قطعیت محیطی در ادبیات اجتماعی مورد بررسی مورد حمایت قرار گرفته است که ممکن است برای شرکت های چینی نیز قابل اجرا باشد.	اثرات مشروط بیشتر ویژگی های شبکه در اکثر مطالعات به خصوص در ارتباط با عدم قطعیت محیطی در ادبیات اجتماعی مورد بررسی مورد حمایت قرار گرفته است که ممکن است برای شرکت های چینی نیز قابل اجرا باشد . <EOS>	BAD BAD BAD BAD BAD OK OK BAD OK BAD BAD BAD BAD BAD OK BAD OK OK BAD OK BAD BAD BAD OK BAD BAD BAD OK OK OK BAD OK OK OK OK BAD BAD OK OK OK
en-fa	gold	505	این موارد تنها عوامل نهادی، inparticularasrelated، سیاست های کارآفرینی و کارآفرینی خاص، و بیشتر در حمایت نهادی عمومی وقتی و در کجا موجود هستند وجود ندارد، بلکه عوامل سطح شرکت مثل قابلیت های یکپارچه سازی و مهارت یادگیری نیز وجود دارد.	این موارد تنها عوامل نهادی ، inparticularasrelated ، سیاست های کارآفرینی و کارآفرینی خاص ، و بیشتر در حمایت نهادی عمومی وقتی و در کجا موجود هستند وجود ندارد ، بلکه عوامل سطح شرکت مثل قابلیت های یکپارچه سازی و مهارت یادگیری نیز وجود دارد . <EOS>	BAD BAD OK OK OK BAD BAD BAD BAD BAD BAD BAD BAD OK BAD OK BAD OK OK BAD OK BAD OK OK OK BAD BAD BAD BAD OK OK BAD OK OK BAD BAD BAD BAD BAD OK OK OK OK BAD BAD OK OK
en-fa	gold	506	این ویژگی های شبکه شامل ترکیبی از روابط قوی و ضعیف، موقعیت شبکه یا چگالی است.	این ویژگی های شبکه شامل ترکیبی از روابط قوی و ضعیف ، موقعیت شبکه یا چگالی است . <EOS>	OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK BAD OK OK OK
en-fa	gold	507	علاوه بر این، در کشورهایی مانند چین، محیط های تجاری به شدت آشفته و نامطمئن هستند، که بیشتر به واسطه ابهام سیاستی، مداخله دولت و گذار سازمانی است.	علاوه بر این ، در کشورهایی مانند چین ، محیط های تجاری به شدت آشفته و نامطمئن هستند ، که بیشتر به واسطه ابهام سیاستی ، مداخله دولت و گذار سازمانی است . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD OK OK BAD OK BAD OK OK BAD BAD OK BAD OK OK OK OK BAD BAD OK OK OK
en-fa	gold	508	آن عوامل عبارتند از رژیم IPR، آشفتگی محیطی و یا munificence و سایر عوامل سازمانی.	آن عوامل عبارتند از رژیم IPR ، آشفتگی محیطی و یا munificence و سایر عوامل سازمانی . <EOS>	BAD OK BAD BAD OK OK OK OK BAD BAD OK BAD OK OK BAD BAD OK OK
en-fa	gold	509	این مقوله اخیر اغلب به عنوان moderators رابطه بین ویژگی های داخلی و خارجی شرکت ها و متغیرهای وابسته مثل عملکرد کلی شرکت، عملکرد توسعه محصول جدید، دستیابی به قابلیت های رقابتی، قابلیت های نوآوری و غیره مورد استفاده قرار گرفته است.	این مقوله اخیر اغلب به عنوان moderators رابطه بین ویژگی های داخلی و خارجی شرکت ها و متغیرهای وابسته مثل عملکرد کلی شرکت ، عملکرد توسعه محصول جدید ، دستیابی به قابلیت های رقابتی ، قابلیت های نوآوری و غیره مورد استفاده قرار گرفته است . <EOS>	OK BAD BAD OK OK OK BAD BAD BAD BAD BAD OK OK OK BAD BAD OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK BAD BAD BAD OK OK
en-fa	gold	510	در حقیقت, موقعیت های تکنولوژیکی را میتوان  در درون, عمدتاً با فعالیت های r &amp; d و همچنین از تعدادی منابع خارجی شناسایی کرد.	در حقیقت , موقعیت های تکنولوژیکی را میتوان در درون , عمدتاً با فعالیت های r &amp; amp ; d و همچنین از تعدادی منابع خارجی شناسایی کرد . <EOS>	OK OK BAD BAD BAD BAD OK BAD OK BAD BAD OK OK BAD BAD BAD BAD BAD BAD BAD OK OK BAD BAD OK OK OK OK OK OK
en-fa	gold	511	برخی از روابط فرض شده بر روی نمونه چینی، یا در سایر زمینه ها مورد آزمایش قرار گرفته اند، اما بسیاری از آن ها به مباحث نظری یا پیشنهاداتی اشاره می کنند که یافت شده در بافت چینی مورد آزمایش قرار نگرفتند و یا فرضیه مورد آزمایش قرار گرفتند اما منجر به بحث و بحث شدند.	برخی از روابط فرض شده بر روی نمونه چینی ، یا در سایر زمینه ها مورد آزمایش قرار گرفته اند ، اما بسیاری از آن ها به مباحث نظری یا پیشنهاداتی اشاره می کنند که یافت شده در بافت چینی مورد آزمایش قرار نگرفتند و یا فرضیه مورد آزمایش قرار گرفتند اما منجر به بحث و بحث شدند . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD OK BAD BAD BAD OK OK BAD BAD BAD BAD BAD BAD OK OK BAD BAD OK OK OK BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD OK BAD BAD OK BAD BAD OK BAD BAD OK BAD BAD BAD OK OK
en-fa	gold	512	چارچوب توسعه داده شده پتانسیل ایجاد explications جامع تری از پدیده تحت بررسی دقیق را دارد، اما در عین حال نمی تواند تمام روابط ممکن بین اجزای آن را به عنوان تعدادی از مطالعات جداگانه بر روی اجزای واحد توضیح دهد.	چارچوب توسعه داده شده پتانسیل ایجاد explications جامع تری از پدیده تحت بررسی دقیق را دارد ، اما در عین حال نمی تواند تمام روابط ممکن بین اجزای آن را به عنوان تعدادی از مطالعات جداگانه بر روی اجزای واحد توضیح دهد . <EOS>	OK OK BAD BAD OK BAD BAD OK OK BAD OK BAD BAD BAD BAD BAD OK OK OK OK OK OK OK BAD OK BAD OK OK OK OK OK OK OK BAD BAD OK BAD BAD OK BAD OK OK OK OK
en-fa	gold	513	برای غلبه بر این محدودیت ها دو جهت مختلف در حال حاضر تحت تعقیب هستند.	برای غلبه بر این محدودیت ها دو جهت مختلف در حال حاضر تحت تعقیب هستند . <EOS>	OK OK OK OK OK OK BAD OK OK BAD BAD BAD BAD BAD BAD OK OK
en-fa	gold	514	در این مقاله، ما نوعی اندازه گیری اعوجاج را پیشنهاد می کنیم که نه تنها براساس اثرات تبعیض آمیز بعد از چرخش پیکسل است بلکه بستگی به اثرات دیداری of متناظر دارد، که اندازه گیری اعوجاج مشترک نامیده می شود.	در این مقاله ، ما نوعی اندازه گیری اعوجاج را پیشنهاد می کنیم که نه تنها براساس اثرات تبعیض آمیز بعد از چرخش پیکسل است بلکه بستگی به اثرات دیداری of متناظر دارد ، که اندازه گیری اعوجاج مشترک نامیده می شود . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD OK OK OK OK OK BAD BAD OK OK BAD BAD OK BAD BAD OK OK OK OK OK OK OK OK OK OK
en-fa	gold	515	بنابراین, هنگام تعبیه پیغام های محرمانه به یک تصویر دودویی, باید با تغییر دادن برخی از پیکسل مناسب, وضعیت را تغییر دهیم.	بنابراین , هنگام تعبیه پیغام های محرمانه به یک تصویر دودویی , باید با تغییر دادن برخی از پیکسل مناسب , وضعیت را تغییر دهیم . <EOS>	OK BAD OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK BAD BAD OK OK OK OK OK OK
en-fa	gold	516	یانگ و کوت [6] یک معیار حفظ اتصال را برای ۳ الگوی ۳ برای تعیین اعوجاج تعریف می کنند تا کیفیت تصویر حفظ شود در حالی که پیکسل برگردانده می شوند.	یانگ و کوت &#91; 6 &#93; یک معیار حفظ اتصال را برای ۳ الگوی ۳ برای تعیین اعوجاج تعریف می کنند تا کیفیت تصویر حفظ شود در حالی که پیکسل برگردانده می شوند . <EOS>	OK OK OK OK OK OK BAD OK OK OK OK OK BAD OK OK BAD BAD BAD OK OK OK OK OK OK BAD BAD OK OK OK OK OK OK BAD OK OK
en-fa	gold	517	هدف از روش پیشنهادی ایجاد یک الگوریتم عملی است که embedding m را در پوشش n عنصر تعبیه کند.	هدف از روش پیشنهادی ایجاد یک الگوریتم عملی است که embedding m را در پوشش n عنصر تعبیه کند . <EOS>	OK OK OK OK OK OK OK OK OK OK BAD BAD OK OK OK OK OK OK OK OK OK
en-fa	gold	518	به علاوه, حداکثر طول پیام های embeded بستگی به محتوای تصویر ندارد, که با روش های ذکر شده در بالا متفاوت است.	به علاوه , حداکثر طول پیام های embeded بستگی به محتوای تصویر ندارد , که با روش های ذکر شده در بالا متفاوت است . <EOS>	OK OK BAD OK OK OK OK BAD OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK
en-fa	gold	519	در بخش ۵، آزمایش ها مقایسه بین اندازه گیری های مختلف اعوجاج و در بین طرح های مختلف steganographic گزارش شده است.	در بخش ۵ ، آزمایش ها مقایسه بین اندازه گیری های مختلف اعوجاج و در بین طرح های مختلف steganographic گزارش شده است . <EOS>	OK OK OK OK OK BAD OK BAD OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK
en-fa	gold	520	با الهام از LBP, الگوی بافت محلی (LTP) برای توصیف بافت تصویر دودویی توسعه یافته است.	با الهام از LBP , الگوی بافت محلی ( LTP ) برای توصیف بافت تصویر دودویی توسعه یافته است . <EOS>	OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-fa	gold	521	می توانیم بفهمیم که محدوده LTPs از ۰ تا ۵۱۱ است.	می توانیم بفهمیم که محدوده LTPs از ۰ تا ۵۱۱ است . <EOS>	OK OK OK OK OK BAD OK OK OK OK OK OK OK
en-fa	gold	522	ما فکر می کنیم اگر یکنواختی تصاویر بهبود یابد, کیفیت تصاویری که تولید می کنیم نیز می تواند به طور موثر بهبود یابد.	ما فکر می کنیم اگر یکنواختی تصاویر بهبود یابد , کیفیت تصاویری که تولید می کنیم نیز می تواند به طور موثر بهبود یابد . <EOS>	OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-fa	gold	523	از نظر تیوری, اعوجاج پایه می تواند توانایی جلوگیری از این وضعیت را داشته باشد, که به این معنی است که شکل ۲ (b) را به عنوان یک مقدار بالا اندازه گیری می کند.	از نظر تیوری , اعوجاج پایه می تواند توانایی جلوگیری از این وضعیت را داشته باشد , که به این معنی است که شکل ۲ ( b ) را به عنوان یک مقدار بالا اندازه گیری می کند . <EOS>	OK OK BAD BAD BAD BAD BAD BAD OK OK OK OK OK OK OK OK BAD BAD OK OK OK BAD BAD OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK
en-fa	gold	524	آننشان می دهد که اندازه گیری انحراف مشترک مزایای بزرگی را برای امنیت روش ما به ارمغان می آورد.	آننشان می دهد که اندازه گیری انحراف مشترک مزایای بزرگی را برای امنیت روش ما به ارمغان می آورد . <EOS>	BAD OK OK OK OK OK BAD OK OK BAD BAD OK OK OK OK OK OK OK OK OK OK
en-fa	gold	525	نتیجه گیریدر این مقاله, ما یک اندازه گیری انحراف مشترک را پیشنهاد کردیم که طرح steganography را از تقسیم کردن تصاویر به بلوک ها و انتخاب پیکسل مناسب برای درج پیام مخفی پیشنهاد کرد.	نتیجه گیریدر این مقاله , ما یک اندازه گیری انحراف مشترک را پیشنهاد کردیم که طرح steganography را از تقسیم کردن تصاویر به بلوک ها و انتخاب پیکسل مناسب برای درج پیام مخفی پیشنهاد کرد . <EOS>	OK BAD OK OK BAD OK OK OK OK BAD OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-fa	gold	526	یانگ و کوت [6] یک معیار حفظ اتصال را برای ۳ الگوی ۳ برای تعیین اعوجاج تعریف می کنند تا کیفیت تصویر حفظ شود در حالی که پیکسل برگردانده می شوند.	یانگ و کوت &#91; 6 &#93; یک معیار حفظ اتصال را برای ۳ الگوی ۳ برای تعیین اعوجاج تعریف می کنند تا کیفیت تصویر حفظ شود در حالی که پیکسل برگردانده می شوند . <EOS>	OK OK OK OK OK OK BAD OK OK OK OK OK BAD OK OK BAD BAD BAD OK OK OK OK OK OK BAD BAD OK OK OK OK OK OK BAD OK OK
en-fa	gold	527	به علاوه, حداکثر طول پیام های embeded بستگی به محتوای تصویر ندارد, که با روش های ذکر شده در بالا متفاوت است.	به علاوه , حداکثر طول پیام های embeded بستگی به محتوای تصویر ندارد , که با روش های ذکر شده در بالا متفاوت است . <EOS>	OK OK BAD OK OK OK OK BAD OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK
en-fa	gold	528	در بخش ۵، آزمایش ها مقایسه بین اندازه گیری های مختلف اعوجاج و در بین طرح های مختلف steganographic گزارش شده است.	در بخش ۵ ، آزمایش ها مقایسه بین اندازه گیری های مختلف اعوجاج و در بین طرح های مختلف steganographic گزارش شده است . <EOS>	OK OK OK OK OK BAD OK BAD OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK
en-fa	gold	529	با الهام از LBP, الگوی بافت محلی (LTP) برای توصیف بافت تصویر دودویی توسعه یافته است.	با الهام از LBP , الگوی بافت محلی ( LTP ) برای توصیف بافت تصویر دودویی توسعه یافته است . <EOS>	OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-fa	gold	530	با این حال, اگر ما پیکسل زیادی به طور پیوسته تغییر دهیم, بافت را از بین خواهد برد و اعوجاج عظیم یک تصویر دودویی را به ارمغان خواهد آورد.	با این حال , اگر ما پیکسل زیادی به طور پیوسته تغییر دهیم , بافت را از بین خواهد برد و اعوجاج عظیم یک تصویر دودویی را به ارمغان خواهد آورد . <EOS>	OK OK OK BAD OK OK OK BAD BAD OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-fa	gold	531	به جای تقسیم تصویر به بلوک های, ما فکر می کنیم که طراحی مناسب نقشه تحریف نیز می تواند از تغییر پیوسته پیکسل ها جلوگیری کند.	به جای تقسیم تصویر به بلوک های , ما فکر می کنیم که طراحی مناسب نقشه تحریف نیز می تواند از تغییر پیوسته پیکسل ها جلوگیری کند . <EOS>	BAD OK OK OK OK OK BAD BAD BAD BAD BAD BAD BAD OK OK OK BAD OK OK OK OK OK OK OK BAD OK OK OK OK
en-fa	gold	532	ما فکر می کنیم اگر یکنواختی تصاویر بهبود یابد, کیفیت تصاویری که تولید می کنیم نیز می تواند به طور موثر بهبود یابد.	ما فکر می کنیم اگر یکنواختی تصاویر بهبود یابد , کیفیت تصاویری که تولید می کنیم نیز می تواند به طور موثر بهبود یابد . <EOS>	OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-fa	gold	533	برای مثال شکل ۲ (a) تغییر نقطه مرکزی بسیار ناگهانی است, که شکل بلوک کوچک را به طور کامل تغییر داده و اتصال pixels را خراب می کند.	برای مثال شکل ۲ ( a ) تغییر نقطه مرکزی بسیار ناگهانی است , که شکل بلوک کوچک را به طور کامل تغییر داده و اتصال pixels را خراب می کند . <EOS>	BAD OK OK OK OK OK OK OK BAD OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK
en-fa	gold	534	با این حال, برای شکل ۲ (b), تغییر پیکسل های مرکز تغییر بزرگی از شکل آن نمی کند بلکه اتصال را تغییر می دهد.	با این حال , برای شکل ۲ ( b ) , تغییر پیکسل های مرکز تغییر بزرگی از شکل آن نمی کند بلکه اتصال را تغییر می دهد . <EOS>	OK OK OK OK OK OK OK OK OK OK BAD OK OK OK BAD OK OK BAD OK OK BAD OK OK OK OK OK OK OK OK OK
en-fa	gold	535	از نظر تیوری, اعوجاج پایه می تواند توانایی جلوگیری از این وضعیت را داشته باشد, که به این معنی است که شکل ۲ (b) را به عنوان یک مقدار بالا اندازه گیری می کند.	از نظر تیوری , اعوجاج پایه می تواند توانایی جلوگیری از این وضعیت را داشته باشد , که به این معنی است که شکل ۲ ( b ) را به عنوان یک مقدار بالا اندازه گیری می کند . <EOS>	OK OK BAD BAD BAD BAD BAD BAD OK OK OK OK OK OK OK OK BAD BAD OK OK OK BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-fa	gold	536	شکل ۳ مقایسه of ۸۰۰ نقطه را نشان می دهد، که دارای پایین ترین مقادیر اعوجاج، از یک تصویر با توجه به اندازه گیری اعوجاج پایه در بخش ۲ و اندازه گیری اعوجاج مشترک در این بخش است.	شکل ۳ مقایسه of ۸۰۰ نقطه را نشان می دهد ، که دارای پایین ترین مقادیر اعوجاج ، از یک تصویر با توجه به اندازه گیری اعوجاج پایه در بخش ۲ و اندازه گیری اعوجاج مشترک در این بخش است . <EOS>	OK OK OK BAD OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-fa	gold	537	به عنوان مثال، گوش خرگوش در شکل ۳ (a) در مقایسه با شکل ۳ (b) کاملاً صاف نیست (b) که با اندازه گیری اعوجاج مشترک ایجاد می شود.	به عنوان مثال ، گوش خرگوش در شکل ۳ ( a ) در مقایسه با شکل ۳ ( b ) کاملاً صاف نیست ( b ) که با اندازه گیری اعوجاج مشترک ایجاد می شود . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK BAD BAD OK OK
en-fa	gold	538	متفاوت از کار قبلی, از کل تصویر به عنوان حامل ماساژ استفاده می کنیم, که از انتخاب ناحیه مناسب آزاد است.	متفاوت از کار قبلی , از کل تصویر به عنوان حامل ماساژ استفاده می کنیم , که از انتخاب ناحیه مناسب آزاد است . <EOS>	OK OK OK OK BAD OK OK OK OK OK OK BAD OK OK OK BAD BAD OK OK OK OK BAD OK OK OK
en-fa	gold	539	در حقیقت, در کار قبلی, یکی از دلایل مهم انتخاب ناحیه برای ساخت حامل پیام به منظور خلاص شدن از برخی از مناطقی است که برای تعبیه پیام ها مناسب نیست.	در حقیقت , در کار قبلی , یکی از دلایل مهم انتخاب ناحیه برای ساخت حامل پیام به منظور خلاص شدن از برخی از مناطقی است که برای تعبیه پیام ها مناسب نیست . <EOS>	OK OK BAD OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK BAD OK OK
en-fa	gold	540	مجموعه داده هایی که استفاده می شود is (تصاویر دودویی متشکل از محتویات مختلف) [۹] است که شامل ۵۰۰۰ تصویر دودویی با اندازه ۲۵۶ تصویر مختلف از کارتون ها، نمودارهای CAD، handwritings، بافت ها، اسناد و ماسک ها است.	مجموعه داده هایی که استفاده می شود is ( تصاویر دودویی متشکل از محتویات مختلف ) &#91; ۹ &#93; است که شامل ۵۰۰۰ تصویر دودویی با اندازه ۲۵۶ تصویر مختلف از کارتون ها ، نمودارهای CAD ، handwritings ، بافت ها ، اسناد و ماسک ها است . <EOS>	OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD OK OK OK OK OK OK OK BAD OK OK OK OK OK OK BAD OK OK OK OK
en-fa	gold	541	آننشان می دهد که اندازه گیری انحراف مشترک مزایای بزرگی را برای امنیت روش ما به ارمغان می آورد.	آننشان می دهد که اندازه گیری انحراف مشترک مزایای بزرگی را برای امنیت روش ما به ارمغان می آورد . <EOS>	BAD OK OK OK OK OK BAD OK OK BAD BAD OK OK OK OK OK OK OK OK OK OK
en-fa	gold	542	NIGMS به عنوان بخشی از نقش خود در تضمین سرمایه گذاری موثر از منابع مالیات دهندگان, از زمان آغاز این برنامه, یک ارزیابی از کمک های مالی SBIR / STTR خود انجام داد.	NIGMS به عنوان بخشی از نقش خود در تضمین سرمایه گذاری موثر از منابع مالیات دهندگان , از زمان آغاز این برنامه , یک ارزیابی از کمک های مالی SBIR / STTR خود انجام داد . <EOS>	BAD OK OK OK OK OK OK OK OK OK OK BAD BAD OK OK BAD BAD BAD BAD BAD BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK BAD OK OK OK
en-fa	gold	543	"ماموریت فراگیر برنامه های SBIR / STTR "" برای پشتیبانی از برتری علمی و نوآوری های تکنولوژیکی از طریق سرمایه گذاری بودجه های تحقیقاتی فدرال در اولویت های حیاتی آمریکا برای ایجاد یک اقتصاد ملی قوی "" است."	ماموریت فراگیر برنامه های SBIR / STTR &quot; برای پشتیبانی از برتری علمی و نوآوری های تکنولوژیکی از طریق سرمایه گذاری بودجه های تحقیقاتی فدرال در اولویت های حیاتی آمریکا برای ایجاد یک اقتصاد ملی قوی &quot; است . <EOS>	BAD BAD OK OK OK OK OK BAD BAD BAD OK BAD OK OK OK BAD BAD OK OK OK OK BAD OK OK OK OK OK OK BAD BAD OK OK OK OK OK OK BAD OK OK OK
en-fa	gold	544	از ۲۷ موسسه و مراکز که موسسه ملی بهداشت را تشکیل می دهند، NIGMS، چهارمین برنامه کمک بلاعوض SBIR / STTR را دارد (NIGMS موسسه ملی بهداشت، ۲۰۱۷).	از ۲۷ موسسه و مراکز که موسسه ملی بهداشت را تشکیل می دهند ، NIGMS ، چهارمین برنامه کمک بلاعوض SBIR / STTR را دارد ( NIGMS موسسه ملی بهداشت ، ۲۰۱۷ ) . <EOS>	OK BAD BAD OK BAD BAD BAD BAD BAD OK OK OK OK OK OK BAD OK OK BAD BAD OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK
en-fa	gold	545	اندازه the که برای تامین بودجه برنامه های SBIR / STTR مورد استفاده قرار می گیرد، با هر اجازه عضو کنگره از برنامه ها افزایش می یابد.	اندازه the که برای تامین بودجه برنامه های SBIR / STTR مورد استفاده قرار می گیرد ، با هر اجازه عضو کنگره از برنامه ها افزایش می یابد . <EOS>	OK BAD OK OK BAD BAD OK OK OK OK OK BAD OK BAD OK BAD BAD OK BAD BAD BAD BAD BAD BAD BAD OK BAD BAD OK OK
en-fa	gold	546	آنچه در سال ۱۹۸۳ آغاز شد به عنوان یک برنامه small دلاری در NIGMS افزایش یافت تا ۸۲.۵ میلیون دلار به سوی موسسه تا سال ۲۰۱۷ تبدیل شود.	آنچه در سال ۱۹۸۳ آغاز شد به عنوان یک برنامه small دلاری در NIGMS افزایش یافت تا ۸۲.۵ میلیون دلار به سوی موسسه تا سال ۲۰۱۷ تبدیل شود . <EOS>	OK OK OK OK BAD BAD OK OK OK OK BAD OK BAD OK BAD BAD OK BAD BAD BAD BAD BAD BAD BAD BAD BAD OK OK OK OK
